Year,Subject employers,Subject employees,Accepted disabling claims,Est. accepted nondisabling claims,Est. total accepted claims,Denied claims,Disabling claim denial rate,Fatality claims,Net PTD claims,Rate: accepted disabling claims per 100 employees,"Rate: fatality claims per 100,000 employees",Aggravation claims: Accepted disabling,Aggravation claims: Denied disabling,Disabling claims: median days to insurer acceptance,Disabling claims: median days to insurer denial,Disabling claims: Percent accepted or denied timely,Disabling claims: Percent with first payment timely
1968,49021,671900,32509,78800,111300,,,118,,4.8,17.6,,,,,,
1969,52191,700800,35372,82300,117700,,,131,96,5.0,18.7,,,,,,
1970,52789,704300,30338,80400,110700,1935,,137,159,4.3,19.5,,,,,,
1971,58768,732500,30663,82200,112900,1709,,132,217,4.2,18.0,,,,,,
1972,62584,778800,34835,86900,121700,2177,,133,286,4.5,17.1,,,,,,
1973,65788,820600,36802,92300,129100,2408,,144,285,4.5,17.5,,,,,,
1974,60638,841100,34214,98100,132300,2647,,123,254,4.1,14.6,,,,,,
1975,60650,840100,32172,89400,121600,2699,,132,299,3.8,15.7,,,,,,
1976,62884,879200,31013,99200,130200,3087,,104,237,3.5,11.8,,,,,,
1977,68782,937100,38657,108200,146900,4384,,124,211,4.1,13.2,,,,,,
1978,70502,1009000,47844,126400,174200,5140,,122,226,4.7,12.1,,,,,,
1979,73397,1055100,44697,137400,182100,6559,,137,139,4.2,13.0,,,,,,
1980,72777,1050800,44930,120000,164900,6766,,89,110,4.3,8.5,,,,,,
1981,70824,1026200,37498,107200,144700,6944,,76,141,3.7,7.4,,,,,,
1982,68286,968700,31535,92200,123700,6805,,67,122,3.3,6.9,,,,,,
1983,68651,973900,34037,92800,126800,6654,,97,107,3.5,10.0,,,,,,
1984,68929,1013700,37702,102300,140000,7613,,83,118,3.7,8.2,,,,,,
1985,68378,1034600,38808,101500,140300,10204,,84,154,3.8,8.1,,,,,,
1986,68803,1064000,40157,94300,134500,10580,,84,151,3.8,7.9,,,,,,
1987,67941,1105200,41033,97200,138200,11276,,78,177,3.7,7.1,,,,,,
1988,67602,1161100,43660,100900,144600,12726,,81,195,3.8,7.0,,,45,57,,
1989,68144,1214900,39170,111400,150600,16760,,76,124,3.2,6.3,,,33,41,,
1990,64705,1258600,35857,102200,138100,18680,,64,45,2.8,5.1,,,31,35,0.9,0.8
1991,67410,1258600,31479,97600,129100,19620,,65,46,2.5,5.2,1988,1686,35,39,0.9,0.8
1992,68423,1280500,30786,85700,116500,19902,0.2,63,42,2.4,4.9,2149,1514,40,44,0.9,0.9
1993,70718,1317100,30741,85000,115700,19796,0.2,64,13,2.3,4.9,2038,1340,34,48,1.0,0.9
1994,73841,1378800,31530,86200,117700,20021,0.2,55,27,2.3,4.0,1862,1177,40,48,1.0,0.9
1995,76026,1431600,30564,89700,120300,20617,0.2,48,15,2.1,3.4,1553,907,43,49,1.0,0.9
1996,88800,1487300,28389,92700,121100,20576,0.2,54,11,1.9,3.6,1524,944,44,60,0.9,0.9
1997,89100,1547800,27922,93600,121600,20915,0.2,43,15,1.8,2.8,1316,999,50,66,0.9,0.9
1998,90100,1576100,27020,88600,115600,20126,0.2,52,10,1.7,3.3,1151,760,52,63,0.9,0.9
1999,90300,1602700,25769,88600,114400,19635,0.2,47,14,1.6,2.9,1005,728,49,62,0.9,0.9
2000,90900,1627600,25325,84100,109400,19547,0.2,45,8,1.6,2.8,854,614,49,60,0.9,0.9
2001,91000,1616400,24607,74900,99500,18750,0.2,34,-1,1.5,2.1,863,580,46,60,0.9,0.9
2002,90700,1596100,23464,68500,92000,17408,0.2,52,20,1.5,3.3,749,541,39,50,0.9,0.9
2003,91300,1585800,21823,61400,83200,15801,0.2,41,8,1.4,2.6,704,492,40,51,0.9,0.9
2004,92500,1631300,22319,60400,82700,14882,0.2,45,13,1.4,2.8,555,421,39,45,0.9,0.9
2005,94900,1679200,22111,61100,83200,14487,0.2,31,16,1.3,1.8,554,344,41,48,0.9,0.9
2006,96800,1730300,23370,62800,86200,14237,0.1,37,17,1.4,2.1,522,427,41,48,0.9,0.9
2007,98700,1758500,23431,58000,81400,13765,0.2,35,14,1.3,2.0,519,533,40,47,0.9,0.9
2008,98300,1741500,21660,51700,73400,12376,0.1,46,9,1.2,2.6,504,563,40,48,0.9,0.9
2009,94800,1632000,18949,42900,61800,11111,0.2,31,13,1.2,1.9,450,557,41,46,0.9,0.9
2010,93900,1619800,18010,40800,58800,10292,0.1,17,23,1.1,1.0,440,534,42,49,0.9,0.9
2011,99900,1638500,18690,40100,58800,10062,0.1,28,9,1.1,1.7,340,516,42,48,0.9,0.9
2012,101400,1661600,18644,40500,59100,10029,0.1,30,9,1.1,1.8,363,482,41,47,0.9,0.9
2013,100300,1694400,18615,40400,59000,9485,0.1,30,14,1.1,1.8,296,437,44,49,0.9,0.9
2014,107900,1745000,19677,40500,60200,9271,0.1,31,9,1.1,1.8,254,365,44,49,0.9,0.9
2015,112100,1796400,19550,41500,61100,10237,0.1,27,16,1.1,1.5,233,330,43,51,0.9,0.9
2016,116900,1855600,20447,41900,62400,9951,0.1,29,7,1.1,1.6,217,327,44,50,0.9,0.9
2017,120200,1899400,20978,45200,66200,10054,0.1,35,6,1.1,1.8,237,319,46,53,0.9,0.9
2018,123900,1943000,20997,46800,67800,10350,0.1,35,6,1.1,1.8,231,323,47,53,1.0,0.9
2019,126100,1972500,22399,46000,68400,10458,0.1,41,7,1.1,2.1,228,373,45,54,1.0,0.9
2020,128000,1857800,21858,40000,61900,8495,0.1,34,8,1.2,1.8,160,253,42,52,1.0,0.9
2021,134200,1909400,24385,40200,64600,8161,0.1,44,5,1.3,2.3,143,246,44,55,1.0,0.9
2022,137900,1987300,24948,42300,67200,8818,0.1,30,9,1.3,1.5,134,188,45,53,0.9,0.9
2023,136700,2024000,22994,38700,61700,8253,0.1,42,10,1.1,2.1,128,176,44,55,0.9,0.9
